0,0.095,0.275,0.1481
2,0.755,0.075,0.1766
1,0.035,0.815,0.2587
2,0.365,0.365,0.1277
0,0.605,0.955,0.1595
1,0.755,0.375,0.1652
0,0.165,0.345,0.142
2,0.545,0.025,0.2034
1,0.095,0.995,0.155
0,0.665,0.015,0.1191
2,0.735,0.745,0.1621
1,0.555,0.215,0.1735
0,0.265,0.825,0.1615
2,0.225,0.845,0.1471
0,0.715,0.665,0.1344
1,0.605,0.685,0.1502
2,0.255,0.425,0.1587
0,0.215,0.135,0.1344
1,0.035,0.775,0.1355
2,0.045,0.605,0.1856
1,0.585,0.805,0.1544
0,0.625,0.615,0.1972
2,0.815,0.545,0.1977
1,0.095,0.535,0.1177
0,0.135,0.375,0.127
2,0.315,0.975,0.1865
1,0.655,0.115,0.1641
0,0.115,0.985,0.1542
2,0.445,0.075,0.1622
1,0.025,0.955,0.2063
0,0.975,0.285,0.2189
2,0.975,0.185,0.1395
1,0.375,0.975,0.1662
2,0.645,0.935,0.1204
0,0.055,0.305,0.1587
2,0.305,0.985,0.132
1,0.935,0.195,0.2124
0,0.275,0.765,0.2142
2,0.725,0.425,0.1678
1,0.035,0.025,0.1411
0,0.205,0.035,0.1304
2,0.965,0.405,0.1539
1,0.385,0.675,0.1679
0,0.785,0.025,0.1611
2,0.805,0.985,0.1805
0,0.135,0.755,0.1488
1,0.975,0.255,0.2269
2,0.995,0.155,0.1484
0,0.755,0.775,0.1174
1,0.245,0.955,0.1727
0,0.555,0.435,0.2015
2,0.995,0.745,0.2687
1,0.985,0.425,0.1589
0,0.625,0.435,0.1694
2,0.865,0.185,0.159
1,0.145,0.395,0.1517
0,0.125,0.875,0.1429
2,0.675,0.565,0.1671
1,0.445,0.605,0.1446
2,0.515,0.585,0.1306
0,0.805,0.515,0.1952
1,0.975,0.185,0.1556
2,0.055,0.605,0.1506
0,0.145,0.325,0.1506
2,0.675,0.605,0.1692
1,0.115,0.635,0.1761
0,0.845,0.645,0.132
2,0.295,0.735,0.1816
0,0.015,0.905,0.1253
1,0.245,0.655,0.223
2,0.635,0.915,0.1578
1,0.795,0.825,0.1422
0,0.925,0.715,0.1978
2,0.255,0.795,0.1282
1,0.315,0.165,0.1703
2,0.825,0.595,0.149
0,0.625,0.055,0.2632
1,0.105,0.975,0.1697
