0,0.665,0.825,0.1417
1,0.335,0.935,0.1541
2,0.175,0.025,0.1536
2,0.845,0.165,0.1517
1,0.885,0.855,0.2168
0,0.445,0.175,0.2366
2,0.825,0.565,0.1756
0,0.005,0.495,0.1388
1,0.025,0.315,0.1441
0,0.685,0.865,0.1604
1,0.885,0.605,0.1347
2,0.125,0.145,0.3048
0,0.185,0.945,0.1646
1,0.125,0.625,0.1215
2,0.275,0.655,0.168
0,0.725,0.465,0.1517
1,0.985,0.775,0.1599
2,0.055,0.015,0.1852
0,0.065,0.545,0.1305
1,0.125,0.995,0.1607
0,0.345,0.155,0.2259
1,0.895,0.915,0.1439
2,0.875,0.015,0.3207
0,0.645,0.225,0.1159
1,0.015,0.185,0.1351
0,0.415,0.515,0.1323
2,0.925,0.945,0.2042
0,0.205,0.975,0.1398
1,0.735,0.655,0.2131
2,0.415,0.405,0.2041
1,0.135,0.615,0.1273
0,0.485,0.105,0.1667
2,0.375,0.605,0.156
1,0.775,0.745,0.17
0,0.795,0.865,0.1643
2,0.695,0.465,0.1252
2,0.565,0.125,0.1387
0,0.025,0.545,0.1563
1,0.105,0.135,0.1705
0,0.615,0.255,0.1256
1,0.625,0.595,0.1442
2,0.765,0.845,0.25
0,0.145,0.945,0.135
1,0.055,0.105,0.1217
2,0.175,0.675,0.1466
0,0.255,0.185,0.1259
2,0.215,0.025,0.1498
1,0.585,0.825,0.1995
0,0.145,0.915,0.1422
1,0.875,0.775,0.1519
2,0.695,0.405,0.231
0,0.365,0.025,0.128
1,0.805,0.025,0.1383
2,0.355,0.135,0.1456
1,0.765,0.025,0.1957
0,0.585,0.985,0.2108
2,0.995,0.735,0.1823
1,0.205,0.805,0.1731
0,0.425,0.165,0.2099
2,0.645,0.035,0.1732
1,0.015,0.895,0.1361
2,0.325,0.395,0.1628
0,0.635,0.785,0.2772
2,0.715,0.565,0.1377
1,0.625,0.125,0.2856
0,0.705,0.265,0.1939
2,0.915,0.705,0.1531
1,0.305,0.785,0.2203
0,0.665,0.955,0.1924
2,0.375,0.195,0.1952
1,0.005,0.995,0.1261
0,0.325,0.675,0.1435
2,0.785,0.325,0.1468
1,0.065,0.375,0.1368
0,0.085,0.265,0.2102
2,0.285,0.285,0.1654
1,0.125,0.615,0.1572
0,0.165,0.875,0.1273
1,0.715,0.605,0.1311
2,0.955,0.845,0.1857
0,0.305,0.185,0.177
1,0.355,0.015,0.1253
2,0.335,0.485,0.1346
0,0.875,0.755,0.1595
2,0.425,0.275,0.1351
1,0.985,0.505,0.1804
0,0.705,0.085,0.1531
2,0.375,0.135,0.2147
1,0.125,0.655,0.1737
0,0.415,0.715,0.1151
1,0.665,0.385,0.1856
2,0.685,0.465,0.2746
0,0.455,0.025,0.1813
1,0.065,0.955,0.1338
2,0.325,0.535,0.1345
0,0.165,0.755,0.1365
2,0.395,0.195,0.1464
0,0.855,0.465,0.1265
1,0.885,0.145,0.2265
2,0.345,0.665,0.139
2,0.815,0.725,0.1318
0,0.455,0.635,0.2424
1,0.655,0.835,0.2363
2,0.135,0.505,0.1498
0,0.955,0.065,0.1878
1,0.275,0.325,0.177
2,0.805,0.085,0.1341
